Date,FFRateMomChg,CPIMOM,GoldRtnMoM
31-07-2011,0,0.3,0.08351078
30-06-2011,0,0,-0.021550882
31-05-2011,0,0.3,-0.013171421
30-04-2011,0,0.5,0.081659601
31-03-2011,0,0.5,0.020568835
28-02-2011,0,0.3,0.057055031
31-01-2011,0,0.3,-0.061629379
31-12-2010,0,0.4,0.026281588
30-11-2010,0,0.3,0.020182675
31-10-2010,0,0.3,0.038079217
30-09-2010,0,0.2,0.047077662
31-08-2010,0,0.1,0.056951849
31-07-2010,0,0.2,-0.051529015
30-06-2010,0,0,0.027800693
31-05-2010,0,-0.1,0.026679089
30-04-2010,0,0,0.060540735
31-03-2010,0,0,-0.005004916
28-02-2010,0,-0.1,0.033148661
31-01-2010,0,0.1,-0.012041598
31-12-2009,0,0.1,-0.071882144
30-11-2009,0,0.3,0.135236448
31-10-2009,0,0.3,0.032142857
30-09-2009,0,0.2,0.058601134
31-08-2009,0,0.3,-0.001572822
31-07-2009,0,0,0.028358853
30-06-2009,0,0.8,-0.052513282
31-05-2009,0,0.1,0.098294434
30-04-2009,0,0.1,-0.034034251
31-03-2009,0,-0.1,-0.021114058
28-02-2009,0,0.4,0.016391675
31-01-2009,0,0.3,0.048626032
31-12-2008,-0.875,-0.8,0.083435432
30-11-2008,0,-1.8,0.136452242
31-10-2008,-1,-0.9,-0.178448868
30-09-2008,0,0.1,0.051732435
31-08-2008,0,-0.1,-0.090491301
31-07-2008,0,0.7,-0.015512227
30-06-2008,0,1,0.046207596
31-05-2008,0,0.6,0.025661773
30-04-2008,-0.25,0.2,-0.055773849
31-03-2008,-0.75,0.4,-0.060307692
29-02-2008,0,0.2,0.056681478
31-01-2008,-1.25,0.3,0.101073986
31-12-2007,-0.25,0.3,0.071337254
30-11-2007,0,0.8,-0.016471772
31-10-2007,-0.25,0.3,0.070678514
30-09-2007,-0.5,0.4,0.099141758
31-08-2007,0,0,0.013345329
31-07-2007,0,0.2,0.024581349
30-06-2007,0,0.2,-0.015279879
31-05-2007,0,0.4,-0.0329188
30-04-2007,0,0.3,0.03092006
31-03-2007,0,0.5,-0.014126394
28-02-2007,0,0.4,0.031441718
31-01-2007,0,0.2,0.021943574
31-12-2006,0,0.5,-0.013757922
30-11-2006,0,0,0.066084377
31-10-2006,0,-0.4,0.01369863
30-09-2006,0,-0.5,-0.047118752
31-08-2006,0,0.4,-0.009460738
