,S&P 500,MSCI ACWI,MSCI EM
Ticker,^GSPC,ACWI,EEM
Date,,,
2010-01-31,1073.8699951171875,40.04999923706055,38.279998779296875
2010-02-28,1104.489990234375,40.91999816894531,38.959999084472656
2010-03-31,1169.4300537109375,43.5099983215332,42.119998931884766
2010-04-30,1186.68994140625,43.40999984741211,42.04999923706055
2010-05-31,1089.4100341796875,39.34000015258789,38.099998474121094
2010-06-30,1030.7099609375,37.599998474121094,37.31999969482422
2010-07-31,1101.5999755859375,41.11000061035156,41.400001525878906
2010-08-31,1049.3299560546875,39.349998474121094,40.060001373291016
2010-09-30,1141.199951171875,43.209999084472656,44.77000045776367
2010-10-31,1183.260009765625,44.83000183105469,46.119998931884766
2010-11-30,1180.550048828125,43.849998474121094,44.779998779296875
2010-12-31,1257.6400146484375,46.810001373291016,47.63999938964844
2011-01-31,1286.1199951171875,47.310001373291016,45.810001373291016
2011-02-28,1327.219970703125,48.779998779296875,45.790000915527344
2011-03-31,1325.8299560546875,48.36000061035156,48.66999816894531
2011-04-30,1363.6099853515625,50.689998626708984,50.0
2011-05-31,1345.199951171875,49.70000076293945,48.529998779296875
2011-06-30,1320.6400146484375,48.25,47.599998474121094
2011-07-31,1292.280029296875,47.150001525878906,47.11000061035156
2011-08-31,1218.8900146484375,43.68000030517578,42.75
2011-09-30,1131.4200439453125,39.119998931884766,35.099998474121094
2011-10-31,1253.300048828125,43.54999923706055,40.810001373291016
2011-11-30,1246.9599609375,43.04999923706055,40.0099983215332
2011-12-31,1257.5999755859375,42.16999816894531,37.939998626708984
2012-01-31,1312.4100341796875,44.47999954223633,42.11000061035156
2012-02-29,1365.6800537109375,46.68000030517578,44.33000183105469
2012-03-31,1408.469970703125,47.20000076293945,42.95000076293945
2012-04-30,1397.9100341796875,46.65999984741211,42.220001220703125
2012-05-31,1310.3299560546875,42.33000183105469,37.70000076293945
2012-06-30,1362.1600341796875,43.869998931884766,39.130001068115234
2012-07-31,1379.3199462890625,44.22999954223633,39.119998931884766
2012-08-31,1406.5799560546875,45.459999084472656,39.279998779296875
2012-09-30,1440.6700439453125,46.689998626708984,41.33000183105469
2012-10-31,1412.1600341796875,46.45000076293945,41.150001525878906
2012-11-30,1416.1800537109375,47.189998626708984,41.790000915527344
2012-12-31,1426.18994140625,48.08000183105469,44.349998474121094
2013-01-31,1498.1099853515625,49.88999938964844,44.220001220703125
2013-02-28,1514.6800537109375,49.84000015258789,43.209999084472656
2013-03-31,1569.18994140625,50.75,42.77000045776367
2013-04-30,1597.5699462890625,52.189998626708984,43.290000915527344
2013-05-31,1630.739990234375,51.9900016784668,41.20000076293945
2013-06-30,1606.280029296875,50.0,38.5
2013-07-31,1685.72998046875,52.290000915527344,39.0099983215332
2013-08-31,1632.969970703125,51.09000015258789,38.02000045776367
2013-09-30,1681.550048828125,53.91999816894531,40.7599983215332
2013-10-31,1756.5400390625,56.04999923706055,42.459999084472656
2013-11-30,1805.81005859375,56.91999816894531,42.349998474121094
2013-12-31,1848.3599853515625,57.619998931884766,41.79999923706055
2014-01-31,1782.5899658203125,54.95000076293945,38.189998626708984
2014-02-28,1859.449951171875,57.810001373291016,39.47999954223633
2014-03-31,1872.3399658203125,58.13999938964844,41.0099983215332
2014-04-30,1883.949951171875,58.83000183105469,41.33000183105469
2014-05-31,1923.5699462890625,60.0099983215332,42.54999923706055
2014-06-30,1960.22998046875,60.2599983215332,43.22999954223633
2014-07-31,1930.6700439453125,59.38999938964844,43.81999969482422
2014-08-31,2003.3699951171875,60.91999816894531,45.060001373291016
2014-09-30,1972.2900390625,58.900001525878906,41.560001373291016
2014-10-31,2018.050048828125,59.61000061035156,42.150001525878906
2014-11-30,2067.56005859375,60.43000030517578,41.5
2014-12-31,2058.89990234375,58.5,39.290000915527344
2015-01-31,1994.989990234375,57.72999954223633,39.02000045776367
2015-02-28,2104.5,60.90999984741211,40.7400016784668
2015-03-31,2067.889892578125,60.02000045776367,40.130001068115234
2015-04-30,2085.510009765625,61.7400016784668,42.880001068115234
2015-05-31,2107.389892578125,61.7400016784668,41.119998931884766
2015-06-30,2063.110107421875,59.45000076293945,39.619998931884766
2015-07-31,2103.840087890625,59.939998626708984,37.119998931884766
2015-08-31,1972.1800537109375,55.86000061035156,33.84000015258789
2015-09-30,1920.030029296875,53.939998626708984,32.779998779296875
2015-10-31,2079.360107421875,58.06999969482422,34.869998931884766
2015-11-30,2080.409912109375,57.7599983215332,33.9900016784668
2015-12-31,2043.93994140625,55.81999969482422,32.189998626708984
2016-01-31,1940.239990234375,52.86000061035156,30.56999969482422
2016-02-29,1932.22998046875,52.20000076293945,30.31999969482422
2016-03-31,2059.739990234375,56.060001373291016,34.25
2016-04-30,2065.300048828125,56.810001373291016,34.38999938964844
2016-05-31,2096.949951171875,57.0,33.119998931884766
2016-06-30,2098.860107421875,56.22999954223633,34.36000061035156
2016-07-31,2173.60009765625,58.349998474121094,36.209999084472656
2016-08-31,2170.949951171875,58.54999923706055,36.529998779296875
2016-09-30,2168.27001953125,59.099998474121094,37.45000076293945
2016-10-31,2126.14990234375,57.970001220703125,37.13999938964844
2016-11-30,2198.81005859375,58.56999969482422,35.5
2016-12-31,2238.830078125,59.16999816894531,35.0099983215332
2017-01-31,2278.8701171875,60.88999938964844,37.34000015258789
2017-02-28,2363.639892578125,62.41999816894531,37.9900016784668
2017-03-31,2362.719970703125,63.2599983215332,39.38999938964844
2017-04-30,2384.199951171875,64.27999877929688,40.060001373291016
2017-05-31,2411.800048828125,65.69999694824219,41.20000076293945
